"","sex","year","name","number"
"799","F",1912,"Marjorie",40
"800","F",1912,"Jennie",39
"801","F",1912,"Nora",39
"802","F",1912,"Ora",39
"803","F",1912,"Sally",39
"804","F",1912,"Naomi",38
"805","F",1912,"Bonnie",36
"806","F",1912,"Vivian",36
"807","F",1912,"Emily",34
"808","F",1912,"Leona",34
"809","F",1912,"Nell",34
"810","F",1912,"Velma",34
"811","F",1912,"Anne",33
"812","F",1912,"Ellen",33
"813","F",1912,"Lela",33
"814","F",1912,"Lucile",33
"815","F",1912,"Rose",33
"816","F",1912,"Callie",32
"817","F",1912,"Flossie",30
"818","F",1912,"Mollie",30
"819","F",1912,"Nina",30
"820","F",1912,"Pattie",30
"821","F",1912,"Rosie",29
"822","F",1912,"Sara",29
"823","F",1912,"Eliza",28
"824","F",1912,"Kate",28
"825","F",1912,"Lessie",28
"826","F",1912,"Lydia",28
"827","F",1912,"Allie",27
"828","F",1912,"Ann",27
"829","F",1912,"Eloise",26
"830","F",1912,"Henrietta",26
"831","F",1912,"Hilda",26
"832","F",1912,"Dollie",25
"833","F",1912,"Elma",25
"834","F",1912,"Marguerite",25
"835","F",1912,"Reba",25
"836","F",1912,"Sue",25
"837","F",1912,"Eleanor",24
"838","F",1912,"Kathryn",24
"839","F",1912,"Marion",24
"840","F",1912,"May",24
"841","F",1912,"Sudie",24
"842","F",1912,"Faye",23
"843","F",1912,"Jane",23
"844","F",1912,"Lola",23
"845","F",1912,"Virgie",22
"846","F",1912,"Cleo",21
"847","F",1912,"Cornelia",21
"848","F",1912,"Elnora",21
"849","F",1912,"Hester",21
"850","F",1912,"Ila",21
"851","F",1912,"Letha",21
"852","F",1912,"Margie",21
"853","F",1912,"Violet",21
"854","F",1912,"Charlotte",20
"855","F",1912,"Leola",20
"856","F",1912,"Victoria",20
"857","F",1912,"Bertie",19
"858","F",1912,"Erma",19
"859","F",1912,"Estella",19
"860","F",1912,"Hannah",19
"861","F",1912,"Jean",19
"862","F",1912,"Odessa",19
"863","F",1912,"Roberta",19
"864","F",1912,"Rosetta",19
"865","F",1912,"Connie",18
"866","F",1912,"Dovie",18
"867","F",1912,"Gertie",18
"868","F",1912,"Goldie",18
"869","F",1912,"Gracie",18
"870","F",1912,"Irma",18
"871","F",1912,"Rena",18
"872","F",1912,"Johnsie",17
"873","F",1912,"Norma",17
"874","F",1912,"Rosalie",17
"875","F",1912,"Elva",16
"876","F",1912,"Ernestine",16
"877","F",1912,"Iva",16
"878","F",1912,"Madeline",16
"879","F",1912,"Mozelle",16
"880","F",1912,"Novella",16
"881","F",1912,"Olivia",16
"882","F",1912,"Susan",16
"883","F",1912,"Verna",16
"884","F",1912,"Georgie",15
"885","F",1912,"Hallie",15
"886","F",1912,"Lila",15
"887","F",1912,"Lossie",15
"888","F",1912,"Lou",15
"889","F",1912,"Olive",15
