"Date","Location","Hardness","Turbidity","Fecal.Coliform","Dissolved.oxygen","Oil.and.Grease","Temperature","TSS","Ammonia.nitrogen","pH","Specific.conductance","Bromide","Phosphorus","Fluoride","Salinity","Kjeldahl.nitrogen","Chloride","Sulfate","Ammonia"
"2015-08-03","CT_Umstead",NA,12,16,1.39,NA,27.8,NA,NA,7.05,113.3,NA,NA,NA,NA,NA,NA,NA,NA
"2015-02-04","Pigeon_House",NA,3.7,2800,10.4,0,6.2,NA,NA,6.96,297.4,NA,NA,NA,NA,NA,NA,NA,NA
"2015-03-04","CT_Umstead",NA,34,84,14.13,NA,5.3,NA,NA,6.63,245.6,NA,NA,NA,0.07,NA,NA,NA,NA
"2015-08-03","Pigeon_House",NA,2.5,2100,6.7,0,23.3,NA,NA,7.31,321.2,NA,NA,NA,NA,NA,NA,NA,NA
"2015-08-03","CT_WakeForestRd",NA,4.5,120,6.44,NA,24.9,NA,NA,7.23,228.3,NA,NA,NA,NA,NA,NA,NA,NA
"2015-09-02","CT_Umstead",NA,27,230,7.7,NA,26.2,NA,NA,7.49,98.7,NA,NA,NA,NA,NA,NA,NA,NA
"2015-06-05","CT_EbenezerChurch",NA,8.3,130,7.3,NA,20.3,NA,0.06,7.13,312.9,NA,0.24,NA,NA,0.85,NA,NA,NA
"2016-04-15","CT_EbenezerChurch",41,11,300,9.39,NA,14.4,8,0.02,7.4,193.6,NA,0.11,NA,NA,0.69,NA,NA,NA
"2016-08-31","Pigeon_House",NA,1.5,3000,5.44,0,23.8,NA,NA,7.22,336.9,NA,NA,NA,NA,NA,NA,NA,NA
"2016-10-12","CT_WakeForestRd",20,100,820,11,NA,18.3,60,NA,6.9,59.9,NA,NA,NA,NA,NA,NA,NA,NA
"2016-08-10","NeuseRiver",NA,4.2,80,6.41,NA,29.3,NA,0.05,7.32,96.8,NA,0.02,NA,NA,0.58,NA,NA,NA
"2016-04-15","Pigeon_House",90,3.6,3700,5.33,0,13.8,0,NA,6.6,5359,NA,NA,NA,NA,NA,NA,NA,NA
"2016-03-10","NeuseRiver",NA,20,6,11,NA,10.1,NA,0.06,7.19,91.6,NA,0.05,NA,NA,0.58,NA,NA,NA
"2016-12-12","CT_EbenezerChurch",NA,12,51,10.25,NA,9.2,NA,0.02,7.45,209.6,NA,0.14,NA,NA,0.71,NA,NA,NA
"2016-08-31","CT_Umstead",NA,10,67,2.43,NA,27.7,NA,NA,7.44,113.1,NA,NA,NA,NA,NA,NA,NA,NA
"2016-04-18","NeuseRiver",22,9.2,9,9.46,NA,15.9,6.5,0.04,6.93,83.5,NA,0.03,NA,NA,0.51,NA,NA,NA
"2016-03-10","CT_EbenezerChurch",NA,23,50,6.94,NA,17.6,NA,0.04,7.49,246.3,NA,0.16,NA,NA,0.69,NA,NA,NA
"2016-04-15","CT_WakeForestRd",39,11,110,9.5,NA,14.7,0,NA,7,157.4,NA,NA,NA,NA,NA,NA,NA,NA
"2016-07-08","NeuseRiver",31,5.6,17,7.63,NA,25.9,0,0.13,7.02,102.7,NA,0.03,NA,NA,0.72,NA,NA,NA
"2016-11-01","NeuseRiver",NA,7.3,4,10.29,NA,19.2,0,0.1,7.03,80.6,0,0.04,0,NA,0.66,5.6,4.7,NA
"2016-06-10","CT_EbenezerChurch",NA,20,45,6.37,NA,24,NA,0.05,7.32,154.6,NA,0.1,NA,NA,0.67,NA,NA,NA
"2016-10-12","CT_EbenezerChurch",17,90,1100,8.47,NA,18.6,59,0.07,6.78,59.5,NA,0.17,NA,NA,0.7,NA,NA,NA
"2016-08-31","CT_EbenezerChurch",NA,3.4,160,6.31,NA,24.8,NA,0.03,7.44,366.1,NA,0.24,NA,NA,0.74,NA,NA,NA
"2016-02-04","CT_Umstead",NA,69,920,10.64,NA,12.9,NA,NA,7.22,213,NA,NA,NA,NA,NA,NA,NA,NA
"2016-04-15","CT_Umstead",37,25,13,9.23,NA,15.8,21,NA,7.69,142.6,NA,NA,NA,NA,NA,NA,NA,NA
"2016-03-10","Pigeon_House",NA,2.5,1000,9.66,0,14.9,NA,NA,7.1,643,NA,NA,NA,NA,NA,NA,NA,NA
"2016-02-04","Pigeon_House",NA,34,1500,9.01,0,15.3,NA,NA,7.16,184.1,NA,NA,NA,NA,NA,NA,NA,NA
"2016-11-07","CT_WakeForestRd",NA,3.8,290,11.25,NA,12.8,NA,NA,7.14,230.4,NA,NA,NA,NA,NA,NA,NA,NA
"2016-01-11","Pigeon_House",86,3.7,1300,8.57,NA,9.1,0,NA,7.14,306,NA,NA,NA,NA,NA,NA,NA,NA
"2016-07-08","Pigeon_House",78,3.1,1500,4.77,0,23.7,0,NA,7.17,283.1,NA,NA,NA,NA,NA,NA,NA,NA
"2016-07-08","CT_EbenezerChurch",25,35,120,5.65,NA,28.3,16,0.09,7.07,95.7,NA,0.11,NA,NA,0.78,NA,NA,NA
"2016-07-08","CT_Umstead",25,39,43,6.33,NA,29.5,18,NA,7.28,83.4,NA,NA,NA,NA,NA,NA,NA,NA
"2016-02-04","CT_EbenezerChurch",NA,82,450,10.3,NA,12.8,NA,0.02,7.24,223.5,NA,0.14,NA,NA,0.82,NA,NA,NA
"2016-06-10","Pigeon_House",NA,3.2,1500,5.33,0,19.5,NA,NA,7.16,323.5,NA,NA,NA,NA,NA,NA,NA,NA
"2016-01-11","CT_EbenezerChurch",32,40,54,12.28,NA,8.3,0,0.1,7.34,149.8,NA,NA,NA,NA,0.75,NA,NA,NA
"2016-07-08","CT_WakeForestRd",25,30,300,6.66,NA,27.5,16,NA,7.16,103.7,NA,NA,NA,NA,NA,NA,NA,NA
"2016-10-12","NeuseRiver",27,9.2,78,8.53,NA,21.8,0,0.21,7.28,90.8,NA,0.03,NA,NA,0.69,NA,NA,NA
"2016-08-10","CT_EbenezerChurch",NA,29,200,5.84,NA,27.6,NA,0.1,7.21,75.5,NA,0.09,NA,NA,0.77,NA,NA,NA
