"day_of_week","day","month","year","road","road_feature","weather","traffic_control"
"Friday",16,"November",2018,"3016 HILLSBOROUGH","Driveway, public","Clear","No control present"
"Sunday",18,"November",2018,"E MARTIN ST","No Special Feature","Clear","No control present"
"Wednesday",21,"November",2018,"4905 WESTERN BLVD","No Special Feature","Clear","No control present"
"Thursday",13,"December",2018,"CURRITUCK DR","Four-way intersection","Clear","Stop and go signal"
"Tuesday",15,"January",2019,"CONSTELLATION DR","T-intersection","Clear","No control present"
"Thursday",24,"January",2019,"WESTERN  BLVD","Four-way intersection","Rain","Stop and go signal"
"Friday",8,"February",2019,"NEW HOPE ROAD","No Special Feature","Clear","No control present"
"Wednesday",13,"February",2019,"TENDERFOOT TRL","T-intersection","Clear","No control present"
"Friday",22,"February",2019,"BLUE RIDGE  RD","T-intersection","Cloudy","No control present"
"Tuesday",26,"February",2019,"LUMLEY RD","No Special Feature","Clear","Stop and go signal"
"Thursday",21,"March",2019,"BLAIR ST","No Special Feature","Cloudy","No control present"
"Friday",29,"March",2019,"EDENTON ST","No Special Feature","Clear","No control present"
"Sunday",31,"March",2019,"WESTERN  BLVD","No Special Feature","Cloudy","Stop and go signal"
"Monday",8,"April",2019,"CREEDMOOR RD","No Special Feature","Cloudy","Stop and go signal"
"Tuesday",9,"April",2019,"GLENWOOD AVE","Four-way intersection","Cloudy","Stop and go signal"
"Tuesday",23,"April",2019,"FALLS OF NEUSE RD","Driveway, public","Clear","No control present"
"Sunday",28,"April",2019,"DOROTHEA DR","No Special Feature","Clear","No control present"
"Tuesday",14,"May",2019,"LEAD MINE RD","T-intersection","Clear","Double yellow line (no passing zone)"
"Monday",13,"May",2019,"STRICKLAND RD","No Special Feature","Cloudy","No control present"
"Wednesday",15,"May",2019,"ALLEGHANY DR","No Special Feature","Clear","Stop sign"
"Wednesday",15,"May",2019,"4100 DEEP HOLLOW DR","Driveway, public","Clear","No control present"
"Saturday",25,"May",2019,"HILLSBOROUGH ST","No Special Feature","Clear","No control present"
"Thursday",30,"May",2019,"AVENT FERRY RD","No Special Feature","Clear","Stop sign"
"Monday",3,"June",2019,"GLENWOOD AVE","No Special Feature","Clear","No control present"
"Monday",24,"June",2019,"HILLSBOROUGH ST","No Special Feature","Clear","No control present"
"Sunday",30,"June",2019,"GORMAN ST","No Special Feature","Clear","Stop and go signal"
