"Song","Artist","Date","Number_one_weeks","Overall.Rating","Genre","Length","Artist.Male","Artist.White","Artist.Black","Age","BPM","Energy","Danceability","Happiness","Loudness","Key","Explicit"
"Groovin'","The Young Rascals","20-May-67",4,7,"Funk/Soul",150,1,1,0,23,107,46,61,68,-9,"Eb",0
"Respect","Aretha Franklin","3-Jun-67",2,9.67,"Funk/Soul",149,0,0,1,25,115,56,81,96,-5,"Multiple Keys",0
"Windy","The Association","1-Jul-67",4,5.33,"Pop",173,1,2,0,26,133,72,68,90,-8,"F",0
"Light My Fire","The Doors","29-Jul-67",3,6,"Rock",174,1,1,0,23,130,63,48,73,-10,"Multiple Keys",1
"All You Need is Love","The Beatles","19-Aug-67",1,4.67,"Pop",237,1,1,0,26,105,62,40,68,-6,"G",0
"Ode to Billie Joe","Bobbie Gentry","26-Aug-67",4,9,"Folk/Country",255,0,1,0,25,120,19,64,69,-11,"D",0
"The Letter","Box Tops","23-Sep-67",4,7.33,"Rock",112,1,1,0,16,139,43,64,90,-12,"C",0
"To Sir With Love","Lulu","21-Oct-67",5,6.67,"Pop",166,0,1,0,18,97,40,55,30,-9,"E",0
"Incense and Peppermints","Strawberry Alarm Clock","25-Nov-67",1,4,"Rock",167,1,1,0,NA,133,65,49,67,-11,"G",0
"Daydream Believer","The Monkees","2-Dec-67",4,7.33,"Pop",172,1,1,0,21,126,49,51,65,-10,"G",0
"Hello, Goodbye","The Beatles","30-Dec-67",3,7,"Pop",207,1,1,0,25,99,73,48,81,-9,"C",0
"Judy in Disguise (With Glasses)","John Fred & His Playboy Band","20-Jan-68",2,4.67,"Rock",175,1,1,0,25,82,74,63,95,-8,"Eb",0
"Green Tambourine","The Lemon Pipers","3-Feb-68",2,4.33,"Rock",147,1,1,0,19,111,61,50,31,-8,"G",0
"Love is Blue","Paul Mauriat","10-Feb-68",5,6,"Pop",151,1,1,0,42,104,50,48,28,-11,"Multiple Keys",0
"(Sittin' On) The Dock of the Bay","Otis Redding","16-Mar-68",4,10,"Funk/Soul",164,1,0,1,26,104,37,77,54,-11,"D",0
"Honey","Bobby Goldsboro","13-Apr-68",5,1.33,"Pop",239,1,1,0,26,93,28,40,60,-13,"C",0
"Tighten Up","Archie Bell & the Drells","18-May-68",2,7,"Funk/Soul",195,1,0,1,23,125,44,71,72,-13,"Gb",0
"Mrs. Robinson","Simon & Garfunkel","1-Jun-68",3,7.33,"Rock",244,1,1,0,26,92,46,61,81,-14,"A",0
"This Guy's in Love with You","Herb Alpert","22-Jun-68",4,4.33,"Pop",235,1,1,0,33,84,17,63,25,-13,"Db",0
"Grazing in the Grass","Hugh Masekela","20-Jul-68",2,6.33,"Jazz",175,1,0,1,29,107,57,67,92,-12,"F",0
"Hello, I Love You","The Doors","3-Aug-68",2,5.67,"Rock",133,1,1,0,24,118,55,60,96,-14,"A",0
"People Got to Be Free","The Rascals","17-Aug-68",5,4.67,"Rock;Funk/Soul",182,1,1,0,24,126,70,69,96,-8,"C",0
"Harper Valley PTA","Jeannie C. Riley","21-Sep-68",1,8.33,"Folk/Country",195,0,1,0,22,123,67,76,87,-7,"A",0
"Hey Jude","The Beatles","28-Sep-68",9,8.33,"Pop",426,1,1,0,26,147,61,39,53,-8,"F",0
